E_coh_mean,E_coh_std,a_mean,a_std,b_mean,b_std,c_mean,c_std,composition,num_lammps,num_lammps_1_std,num_lammps_2_std,num_lammps_3_std,num_refine,num_refine_1_std,num_refine_2_std,num_refine_3_std,potential_id,prototype
1.01E-05,1.01E-05,2.725267997,0.000419485,4.720302647,0.000753756,13.35103158,0.002376039,Ru,10,0,0,0,1,0,0,0,2008--Fortini-A--Ru,A7--alpha-As
0.064708119,0.064708119,4.000051052,1.448249898,2.886970686,0.684466201,2.902449384,1.102666054,Al,5,5,5,5,5,5,5,5,2004--Zhou-X-W--Al,A2--W--bcc
1.60E-05,1.60E-05,7.614466216,0.00334922,7.614466216,0.00334922,7.531352331,0.007345422,MoXe,30,0,0,0,20,10,10,10,2013--Smirnova-D-E--U-Mo-Xe,L1_0--AuCu
1.04E-05,1.04E-05,7.201013619,0.003010046,7.201013619,0.003010046,7.201013619,0.003010046,Cr3Ni,10,5,5,5,10,5,5,5,2011--Bonny-G--Fe-Ni-Cr,L1_2--AuCu3
2.04E-05,2.04E-05,3.16485177,0.001751589,3.16485177,0.001751589,3.16485177,0.001751589,W,5,5,5,5,5,5,5,5,2004--Zhou-X-W--W,A2--W--bcc
2.39E-05,2.39E-05,2.817363602,0.001202693,2.817363602,0.001202693,2.817363602,0.001202693,AgH,10,10,10,10,10,10,10,10,2013--Hale-L-M--Pd-Ag-H-Morse,B2--CsCl
9.26E-06,9.26E-06,3.204369779,0.000744963,5.550127447,0.001628548,15.69813629,0.003225814,Zr,5,0,0,0,0,0,0,0,2004--Zhou-X-W--Zr,A7--alpha-As
9.42E-06,9.42E-06,7.747096252,0.000407478,7.747096252,0.000407478,7.747096252,0.000407478,U,25,5,5,5,25,5,5,5,2013--Smirnova-D-E--U-Mo-Xe,A1--Cu--fcc
1.89E-05,1.89E-05,4.050001495,0.001213638,4.050001495,0.001213638,4.050001495,0.001213638,Al,5,5,5,5,5,5,5,5,1995--Angelo-J-E--Ni-Al-H,A1--Cu--fcc
0.136071798,0.136071798,7.800290562,0.562766768,7.820175317,0.068615851,7.92562488,0.27528953,CdSTe2,10,10,10,10,10,10,10,10,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,L2_1--AlCu2Mn--heusler
6.78E-06,6.78E-06,2.893972077,0.000545702,5.012506672,0.000945184,9.404000437,0.002861963,Ag,5,5,5,5,5,5,5,5,2009--Wu-H-H--Cu-Ag,A3'--alpha-La--double-hcp
0.022961552,0.022961552,4.610294595,0.044350156,4.586319352,0.038007224,4.56176573,0.013393668,CuNi,10,0,0,0,10,0,0,0,1985--Foiles-S-M--Ni-Cu,B3--ZnS--cubic-zinc-blende
2.94E-05,2.94E-05,2.858675683,0.001150827,2.858675683,0.001150827,2.858675683,0.001150827,AlNi,10,10,10,10,10,10,10,10,2002--Mishin-Y--Ni-Al,B2--CsCl
1.36E-05,1.36E-05,3.916249947,0.001008904,3.916249947,0.001008904,3.916249947,0.001008904,FeTi3,5,5,5,5,5,5,5,5,2009--Kim-H-K--Fe-Ti-C,L1_2--AuCu3
0.042413531,0.042413531,4.440156609,0.070610952,4.455691546,0.028269749,4.446320037,0.057315726,Fe,5,0,0,5,5,0,0,5,2011--Bonny-G--Fe-Ni-Cr,A15--beta-W
1.12E-05,1.12E-05,4.024846748,0.000939049,4.024846748,0.000939049,4.024846748,0.000939049,Al,5,5,5,5,5,5,5,5,2010--Winey-J-M--Al,A1--Cu--fcc
5.34E-06,5.34E-06,4.064037965,0.001493771,4.064037965,0.001493771,4.064037965,0.001493771,AlH3,5,5,5,5,5,5,5,5,1995--Angelo-J-E--Ni-Al-H,A15--Cr3Si
0.005499099,0.005499099,12.07369868,2.178454727,12.11053741,0.787105208,11.61480858,0.739448788,AlS2MgS,10,5,5,10,10,5,5,10,2012--Jelinek-B--Al-Si-Mg-Cu-Fe,C1--CaF2--fluorite
4.23E-06,4.23E-06,6.165918717,0.000954201,6.165918717,0.000954201,6.165918717,0.000954201,AlSm,10,10,10,10,10,10,10,10,2015--Mendelev-M-I--Al-Sm,B1--NaCl--rock-salt
1.41E-05,1.41E-05,2.817309322,0.000924126,4.879722887,0.001600634,4.880976604,0.003006339,Al,5,0,0,0,0,0,0,0,1999--Liu-X-Y--Al-Cu,A3--Mg--hcp
3.73E-06,3.73E-06,5.257570626,0.000778386,5.257570626,0.000778386,5.257570626,0.000778386,Al3Mg,10,5,5,5,10,5,5,5,1997--Liu-X-Y--Al-Mg,A15--Cr3Si
7.99E-06,7.99E-06,5.583942784,0.010029809,5.575842188,0.04605656,5.587721888,0.036524907,Rb,5,5,5,5,5,5,5,5,2003--Han-S--Rb,A2--W--bcc
2.38E-06,2.38E-06,6.458205465,0.001312019,6.458205465,0.001312019,6.458205465,0.001312019,Mo3U,15,5,5,5,11,5,5,5,2013--Smirnova-D-E--U-Mo-Xe,D0_3--BiF3
2.15E-05,2.15E-05,2.894736409,0.001215252,2.894736409,0.001215252,2.894736409,0.001215252,Cu,5,5,5,5,5,5,5,5,2008--Mendelev-M-I--Cu,A2--W--bcc
1.16E-05,1.16E-05,3.571366316,0.000818611,3.571366316,0.000818611,3.571366316,0.000818611,AlNi3,5,5,5,5,5,5,5,5,2004--Mishin-Y--Ni-Al,L1_2--AuCu3
1.01E-05,1.01E-05,2.143545605,0.000136748,3.712729897,0.000236854,3.496358151,0.000264962,Na,10,5,5,5,10,5,5,5,2015--Wilson-S-R--Na,A3--Mg--hcp
1.55E-05,1.55E-05,3.635374112,0.001074147,3.635374112,0.001074147,3.625509076,0.0015188,CoNi,10,0,0,0,10,10,10,10,2015--Purja-Pun-G-P--Ni-Co,L1_0--AuCu
1.40E-07,1.40E-07,4.448752266,3.49E-05,7.705464955,6.04E-05,20.53247848,23.37555689,Ag,10,0,0,0,0,0,0,0,2013--Gao-H--AgTaO3,A7--alpha-As
0.813739498,0.813739498,6.290298511,2.916743135,5.333254698,1.407490334,5.321856608,1.491284199,CdZn3,5,5,5,5,5,5,5,5,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,A15--Cr3Si
1.63E-05,1.63E-05,3.382798181,0.000322823,5.859178321,0.000559145,5.524086297,0.000527167,Se,5,5,5,5,5,5,5,5,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,A3--Mg--hcp
0.017286842,0.017286842,4.698693785,0.063798534,4.70933376,0.108129598,4.608479344,0.097357481,HPd3,10,5,5,5,10,5,5,5,2013--Hale-L-M--Pd-Ag-H-Hybrid,A15--Cr3Si
2.93E-05,2.93E-05,3.47057634,0.002853952,3.470572823,0.002900805,3.463198421,0.001629856,U,5,0,0,5,5,0,0,5,2014--Fernandez-J-R--U,A2--W--bcc
1.33E-05,1.33E-05,2.741676789,0.000931102,4.748723497,0.001612716,4.413975162,0.002473018,Al,5,5,5,5,5,5,5,5,1996--Farkas-D--Nb-Ti-Al,A3--Mg--hcp
3.25E-05,3.25E-05,4.141565828,0.001003389,4.141565774,0.000958738,3.522064856,0.00095354,AlSFeS,20,0,0,0,10,0,0,0,2012--Jelinek-B--Al-Si-Mg-Cu-Fe,L1_0--AuCu
0.096194226,0.096194226,6.853884634,0.051041128,6.975163535,0.056899708,6.967207948,0.089289231,S2Te,5,5,5,5,5,5,5,5,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,C1--CaF2--fluorite
1.12E-05,1.12E-05,2.586896358,0.000987642,4.480616242,0.001908829,12.67305476,0.004343715,Fe,5,0,0,0,5,0,0,0,2007--Mendelev-M-I--V-Fe,A7--alpha-As
2.98E-06,2.98E-06,7.137741071,0.000401313,7.137741071,0.000401313,7.137741071,0.000401313,HgS3,5,5,5,5,5,5,5,5,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,D0_3--BiF3
1.17E-05,1.17E-05,2.56890278,0.00056864,4.449470135,0.000984914,4.211177363,0.001131458,Cu,5,5,5,5,5,5,5,5,2009--Mendelev-M-I--Cu-Zr,A3--Mg--hcp
4.20E-06,4.20E-06,6.787752131,0.000984315,6.787752131,0.000984315,6.787752131,0.000984315,UXe2,30,5,5,5,30,5,5,5,2013--Smirnova-D-E--U-Mo-Xe,C1--CaF2--fluorite
0.101378238,0.101378238,4.40505603,1.258899544,4.562395806,1.314281459,4.485782407,0.060980252,Ni,5,5,5,5,5,5,5,5,1989--Adams-J-B--Ni,A15--beta-W
2.05E-05,2.05E-05,3.304002048,0.001224823,3.304002048,0.001224823,3.304002048,0.001224823,Ta,5,5,5,5,5,5,5,5,2013--Ravelo-R--Ta-1,A2--W--bcc
3.50E-06,3.50E-06,5.858000805,0.001013005,5.858000805,0.001013005,5.858000805,0.001013005,HgS,10,10,10,10,10,10,10,10,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,B3--ZnS--cubic-zinc-blende
